Fold,Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC,TP,TN,FP,FN
1,NoScaler,LinearSVC,0.6135,0.7021,0.4024,0.5116,0.7085,33,67,14,49
1,NoScaler,SGD_Hinge,0.6319,0.75,0.4024,0.5238,0.685,33,70,11,49
1,NoScaler,SGD_SqHinge,0.6258,0.7234,0.4146,0.5271,0.7136,34,68,13,48
1,StandardScaler,LinearSVC,0.6074,0.6667,0.439,0.5294,0.7014,36,63,18,46
1,StandardScaler,SGD_Hinge,0.6196,0.6923,0.439,0.5373,0.7078,36,65,16,46
1,StandardScaler,SGD_SqHinge,0.6258,0.7442,0.3902,0.512,0.69,32,70,11,50
1,MinMaxScaler,LinearSVC,0.6258,0.7143,0.4268,0.5344,0.7191,35,67,14,47
1,MinMaxScaler,SGD_Hinge,0.6196,0.7083,0.4146,0.5231,0.7183,34,67,14,48
1,MinMaxScaler,SGD_SqHinge,0.6319,0.75,0.4024,0.5238,0.6632,33,70,11,49
1,RobustScaler,LinearSVC,0.6074,0.6667,0.439,0.5294,0.7013,36,63,18,46
1,RobustScaler,SGD_Hinge,0.6319,0.7391,0.4146,0.5312,0.7138,34,69,12,48
1,RobustScaler,SGD_SqHinge,0.6074,0.6875,0.4024,0.5077,0.7073,33,66,15,49
1,Normalizer,LinearSVC,0.6258,0.7234,0.4146,0.5271,0.6198,34,68,13,48
1,Normalizer,SGD_Hinge,0.589,0.6596,0.378,0.4806,0.6107,31,65,16,51
1,Normalizer,SGD_SqHinge,0.6319,0.75,0.4024,0.5238,0.6337,33,70,11,49
2,NoScaler,LinearSVC,0.6564,0.7451,0.4691,0.5758,0.7049,38,69,13,43
2,NoScaler,SGD_Hinge,0.6687,0.7547,0.4938,0.597,0.7141,40,69,13,41
2,NoScaler,SGD_SqHinge,0.6564,0.7451,0.4691,0.5758,0.7064,38,69,13,43
2,StandardScaler,LinearSVC,0.681,0.7959,0.4815,0.6,0.7124,39,72,10,42
2,StandardScaler,SGD_Hinge,0.6748,0.78,0.4815,0.5954,0.7123,39,71,11,42
2,StandardScaler,SGD_SqHinge,0.6626,0.7826,0.4444,0.5669,0.7052,36,72,10,45
2,MinMaxScaler,LinearSVC,0.6319,0.7059,0.4444,0.5455,0.6986,36,67,15,45
2,MinMaxScaler,SGD_Hinge,0.6319,0.7059,0.4444,0.5455,0.6993,36,67,15,45
2,MinMaxScaler,SGD_SqHinge,0.6687,0.7647,0.4815,0.5909,0.6877,39,70,12,42
2,RobustScaler,LinearSVC,0.681,0.7843,0.4938,0.6061,0.7136,40,71,11,41
2,RobustScaler,SGD_Hinge,0.6687,0.7547,0.4938,0.597,0.7084,40,69,13,41
2,RobustScaler,SGD_SqHinge,0.6564,0.7451,0.4691,0.5758,0.7043,38,69,13,43
2,Normalizer,LinearSVC,0.6626,0.7708,0.4568,0.5736,0.668,37,71,11,44
2,Normalizer,SGD_Hinge,0.6564,0.7551,0.4568,0.5692,0.6665,37,70,12,44
2,Normalizer,SGD_SqHinge,0.6564,0.7551,0.4568,0.5692,0.6668,37,70,12,44
3,NoScaler,LinearSVC,0.7346,0.7969,0.6296,0.7034,0.804,51,68,13,30
3,NoScaler,SGD_Hinge,0.7222,0.8,0.5926,0.6809,0.8217,48,69,12,33
3,NoScaler,SGD_SqHinge,0.7469,0.8448,0.6049,0.705,0.8105,49,72,9,32
3,StandardScaler,LinearSVC,0.7222,0.8,0.5926,0.6809,0.8192,48,69,12,33
3,StandardScaler,SGD_Hinge,0.7222,0.8,0.5926,0.6809,0.8098,48,69,12,33
3,StandardScaler,SGD_SqHinge,0.7222,0.8,0.5926,0.6809,0.8191,48,69,12,33
3,MinMaxScaler,LinearSVC,0.7407,0.8095,0.6296,0.7083,0.8031,51,69,12,30
3,MinMaxScaler,SGD_Hinge,0.7284,0.8033,0.6049,0.6901,0.8054,49,69,12,32
3,MinMaxScaler,SGD_SqHinge,0.7284,0.8776,0.5309,0.6615,0.7644,43,75,6,38
3,RobustScaler,LinearSVC,0.7222,0.8,0.5926,0.6809,0.8189,48,69,12,33
3,RobustScaler,SGD_Hinge,0.6975,0.7667,0.5679,0.6525,0.7895,46,67,14,35
3,RobustScaler,SGD_SqHinge,0.7222,0.8,0.5926,0.6809,0.8186,48,69,12,33
3,Normalizer,LinearSVC,0.7222,0.8,0.5926,0.6809,0.7606,48,69,12,33
3,Normalizer,SGD_Hinge,0.7222,0.8103,0.5802,0.6763,0.7522,47,70,11,34
3,Normalizer,SGD_SqHinge,0.7469,0.8333,0.6173,0.7092,0.758,50,71,10,31
4,NoScaler,LinearSVC,0.6605,0.7167,0.5309,0.6099,0.6915,43,64,17,38
4,NoScaler,SGD_Hinge,0.6728,0.7059,0.5926,0.6443,0.7194,48,61,20,33
4,NoScaler,SGD_SqHinge,0.6605,0.7031,0.5556,0.6207,0.7208,45,62,19,36
4,StandardScaler,LinearSVC,0.6605,0.7167,0.5309,0.6099,0.72,43,64,17,38
4,StandardScaler,SGD_Hinge,0.642,0.6949,0.5062,0.5857,0.7225,41,63,18,40
4,StandardScaler,SGD_SqHinge,0.6481,0.7,0.5185,0.5957,0.7212,42,63,18,39
4,MinMaxScaler,LinearSVC,0.6605,0.7167,0.5309,0.6099,0.692,43,64,17,38
4,MinMaxScaler,SGD_Hinge,0.6543,0.7119,0.5185,0.6,0.6976,42,64,17,39
4,MinMaxScaler,SGD_SqHinge,0.6667,0.7547,0.4938,0.597,0.695,40,68,13,41
4,RobustScaler,LinearSVC,0.6667,0.7213,0.5432,0.6197,0.7199,44,64,17,37
4,RobustScaler,SGD_Hinge,0.642,0.6949,0.5062,0.5857,0.6827,41,63,18,40
4,RobustScaler,SGD_SqHinge,0.6605,0.7167,0.5309,0.6099,0.701,43,64,17,38
4,Normalizer,LinearSVC,0.6296,0.6842,0.4815,0.5652,0.7036,39,63,18,42
4,Normalizer,SGD_Hinge,0.6358,0.6897,0.4938,0.5755,0.7104,40,63,18,41
4,Normalizer,SGD_SqHinge,0.6296,0.6842,0.4815,0.5652,0.6976,39,63,18,42
5,NoScaler,LinearSVC,0.6975,0.82,0.5062,0.626,0.7308,41,72,9,40
5,NoScaler,SGD_Hinge,0.6605,0.7708,0.4568,0.5736,0.6571,37,70,11,44
5,NoScaler,SGD_SqHinge,0.7222,0.8103,0.5802,0.6763,0.7298,47,70,11,34
5,StandardScaler,LinearSVC,0.7037,0.7619,0.5926,0.6667,0.7567,48,66,15,33
5,StandardScaler,SGD_Hinge,0.6975,0.75,0.5926,0.6621,0.7506,48,65,16,33
5,StandardScaler,SGD_SqHinge,0.716,0.7966,0.5802,0.6714,0.7414,47,69,12,34
5,MinMaxScaler,LinearSVC,0.7037,0.7619,0.5926,0.6667,0.7456,48,66,15,33
5,MinMaxScaler,SGD_Hinge,0.6975,0.75,0.5926,0.6621,0.7485,48,65,16,33
5,MinMaxScaler,SGD_SqHinge,0.679,0.7544,0.5309,0.6232,0.7414,43,67,14,38
5,RobustScaler,LinearSVC,0.7037,0.7619,0.5926,0.6667,0.7569,48,66,15,33
5,RobustScaler,SGD_Hinge,0.716,0.7966,0.5802,0.6714,0.7412,47,69,12,34
5,RobustScaler,SGD_SqHinge,0.7037,0.8113,0.5309,0.6418,0.7154,43,71,10,38
5,Normalizer,LinearSVC,0.6975,0.7857,0.5432,0.6423,0.7328,44,69,12,37
5,Normalizer,SGD_Hinge,0.6914,0.7925,0.5185,0.6269,0.7673,42,70,11,39
5,Normalizer,SGD_SqHinge,0.679,0.7544,0.5309,0.6232,0.7164,43,67,14,38
